feature,importance_gain,fold
connection_to_LH_LimbicA_TempPole_4,0.014743224,3
connection_to_LH_VisPeri_StriCal_1,0.013761031,3
connection_to_LH_VisCent_ExStr_5,0.0129371,3
connection_to_LH_DefaultA_pCunPCC_1,0.012159921,3
connection_to_LH_ContB_PFCl_1,0.01165789,3
connection_to_LH_DefaultB_Temp_3,0.01161256,3
connection_to_LH_VisCent_ExStr_4,0.011585786,3
connection_to_LH_VisPeri_ExStrSup_2,0.011539101,3
connection_to_LH_VisCent_ExStr_2,0.011423094,3
connection_to_LH_ContA_IPS_3,0.011330776,3
connection_to_pPUT-lh,0.011138058,3
connection_to_LH_ContA_Cingm_1,0.011078227,3
connection_to_aGP-lh,0.011044637,3
connection_to_LH_DefaultB_PFCd_1,0.010667431,3
connection_to_THA-VA-lh,0.01064635,3
connection_to_LH_VisPeri_ExStrInf_1,0.010503623,3
connection_to_LH_SomMotA_3,0.01047291,3
connection_to_LH_DorsAttnB_PostC_2,0.010469154,3
connection_to_LH_DefaultB_PFCd_2,0.0103998035,3
connection_to_LH_ContC_Cingp_1,0.010292644,3
connection_to_LH_SomMotA_4,0.010275592,3
connection_to_NAc-shell-lh,0.010135954,3
connection_to_LH_DefaultA_PFCm_3,0.010051751,3
connection_to_LH_ContA_PFCl_1,0.009872274,3
connection_to_LH_SalVentAttnA_FrMed_2,0.009848256,3
connection_to_LH_SomMotA_8,0.009843457,3
connection_to_LH_LimbicB_OFC_1,0.009840527,3
connection_to_LH_DorsAttnB_FEF_1,0.009832927,3
connection_to_LH_SomMotB_S2_2,0.009826508,3
connection_to_LH_LimbicA_TempPole_1,0.009781879,3
connection_to_LH_DefaultA_PFCm_1,0.009776808,3
connection_to_THA-DP-lh,0.009685569,3
connection_to_LH_VisCent_ExStr_3,0.009633303,3
connection_to_LH_SalVentAttnA_FrOper_1,0.009558211,3
connection_to_pHIP-lh,0.009541187,3
connection_to_THA-VP-lh,0.009380318,3
connection_to_LH_DorsAttnB_PostC_1,0.009376921,3
