region_name,misclassification_rate_rest,misclassification_rate_task,error_increase
RH_SalVentAttnB_Ins_2,0.0625,0.16000000000000003,0.09750000000000003
RH_SalVentAttnA_ParMed_1,0.1294642857142857,0.22499999999999998,0.09553571428571428
LH_ContA_IPS_3,0.0848214285714286,0.18000000000000005,0.09517857142857145
RH_DorsAttnA_SPL_2,0.0669642857142857,0.16000000000000003,0.09303571428571433
LH_ContC_pCun_1,0.017857142857142905,0.10999999999999999,0.09214285714285708
LH_SalVentAttnB_IPL_1,0.0580357142857143,0.15000000000000002,0.09196428571428572
RH_DefaultA_PFCm_3,0.008928571428571397,0.09999999999999998,0.09107142857142858
RH_ContA_PFCd_1,0.1205357142857143,0.20999999999999996,0.08946428571428566
LH_DorsAttnA_TempOcc_2,0.0669642857142857,0.15500000000000003,0.08803571428571433
mAMY-lh,0.1964285714285714,0.28,0.08357142857142863
LH_SomMotB_S2_2,0.0267857142857143,0.10999999999999999,0.08321428571428569
LH_DefaultA_pCunPCC_1,0.0267857142857143,0.10999999999999999,0.08321428571428569
LH_LimbicA_TempPole_3,0.2276785714285714,0.31000000000000005,0.08232142857142866
LH_LimbicA_TempPole_4,0.3080357142857143,0.39,0.08196428571428571
LH_ContA_PFCl_1,0.0580357142857143,0.14,0.08196428571428571
RH_DefaultC_IPL_1,0.09375,0.17500000000000004,0.08125000000000004
RH_SalVentAttnB_IPL_1,0.0892857142857143,0.17000000000000004,0.08071428571428574
LH_ContB_Temp_1,0.0848214285714286,0.16500000000000004,0.08017857142857143
RH_ContA_IPS_2,0.0357142857142857,0.11499999999999999,0.07928571428571429
LH_DefaultB_IPL_1,0.1116071428571429,0.18999999999999995,0.07839285714285704
LH_DefaultA_PFCm_1,0.0669642857142857,0.14500000000000002,0.07803571428571432
RH_TempPar_3,0.1071428571428571,0.18500000000000005,0.07785714285714296
RH_ContC_Cingp_1,0.017857142857142905,0.09499999999999997,0.07714285714285707
LH_ContA_PFCd_1,0.0982142857142857,0.17500000000000004,0.07678571428571435
RH_SalVentAttnA_ParOper_1,0.013392857142857095,0.08999999999999997,0.07660714285714287
THA-DA-lh,0.09375,0.17000000000000004,0.07625000000000004
RH_SalVentAttnB_PFCl_1,0.0848214285714286,0.16000000000000003,0.07517857142857143
RH_DefaultB_Temp_1,0.0803571428571429,0.15500000000000003,0.07464285714285712
RH_VisCent_ExStr_4,0.03125,0.10499999999999998,0.07374999999999998
RH_SomMotA_7,0.0669642857142857,0.14,0.07303571428571431
RH_ContB_IPL_1,0.0669642857142857,0.14,0.07303571428571431
LH_VisCent_ExStr_1,0.022321428571428603,0.09499999999999997,0.07267857142857137
RH_DefaultC_Rsp_1,0.022321428571428603,0.09499999999999997,0.07267857142857137
RH_DefaultA_PFCm_1,0.0625,0.135,0.07250000000000001
LH_SalVentAttnA_FrMed_2,0.0625,0.135,0.07250000000000001
RH_DorsAttnA_ParOcc_1,0.1294642857142857,0.19999999999999996,0.07053571428571426
RH_SomMotA_11,0.0401785714285714,0.10999999999999999,0.06982142857142859
LH_VisPeri_ExStrInf_1,0.0357142857142857,0.10499999999999998,0.06928571428571428
LH_VisCent_ExStr_3,0.03125,0.09999999999999998,0.06874999999999998
RH_VisCent_Striate_1,0.0267857142857143,0.09499999999999997,0.06821428571428567
LH_VisCent_ExStr_2,0.0669642857142857,0.135,0.06803571428571431
RH_SomMotB_Aud_2,0.1071428571428571,0.17500000000000004,0.06785714285714295
LH_SomMotB_S2_3,0.0625,0.13,0.0675
LH_DorsAttnB_FEF_1,0.0892857142857143,0.15500000000000003,0.06571428571428573
LH_DefaultC_IPL_1,0.0803571428571429,0.14500000000000002,0.06464285714285711
LH_DefaultB_Temp_2,0.1160714285714286,0.18000000000000005,0.06392857142857145
RH_VisPeri_ExStrSup_2,0.017857142857142905,0.07999999999999996,0.062142857142857055
RH_VisCent_ExStr_3,0.0535714285714286,0.11499999999999999,0.06142857142857139
RH_LimbicB_OFC_3,0.044642857142857095,0.10499999999999998,0.06035714285714289
LH_SomMotB_Aud_2,0.0401785714285714,0.09999999999999998,0.05982142857142858
LH_SalVentAttnB_PFCmp_1,0.0401785714285714,0.09999999999999998,0.05982142857142858
LH_DefaultA_IPL_1,0.0401785714285714,0.09999999999999998,0.05982142857142858
aCAU-rh,0.0714285714285714,0.13,0.05857142857142861
