region_name,misclassification_rate_rest,misclassification_rate_task,error_increase
LH_VisPeri_StriCal_1,0.0,0.15000000000000002,0.15000000000000002
RH_VisCent_ExStr_1,0.0,0.14500000000000002,0.14500000000000002
RH_DorsAttnA_TempOcc_1,0.0,0.14,0.14
LH_VisPeri_ExStrSup_2,0.0,0.135,0.135
LH_SomMotB_Cent_1,0.0,0.13,0.13
LH_SalVentAttnB_PFCmp_1,0.0,0.13,0.13
LH_ContC_Cingp_1,0.0,0.125,0.125
RH_VisPeri_StriCal_1,0.0,0.10999999999999999,0.10999999999999999
LH_SalVentAttnA_ParMed_1,0.0,0.08499999999999996,0.08499999999999996
RH_DefaultC_Rsp_1,0.0,0.08499999999999996,0.08499999999999996
LH_DefaultC_Rsp_1,0.0,0.06999999999999995,0.06999999999999995
