region_i,region_j,network_i,network_j,rest,task,change,abs_change
NAc-shell-lh,pCAU-lh,Accumbens,Caudate,0.08994433314101238,0.08301022404612163,-0.006934109094890756,0.006934109094890756
mAMY-lh,aCAU-lh,Amygdala,Caudate,-0.027497866308627043,-0.03441191944688649,-0.006914053138259449,0.006914053138259449
THA-VA-rh,NAc-core-lh,Thal_ant,Accumbens,0.11385044701107991,0.10694728949600335,-0.006903157515076558,0.006903157515076558
pHIP-lh,THA-VA-lh,Hippocampus,Thal_ant,0.005878498941774553,0.012645371996350335,0.006766873054575782,0.006766873054575782
pHIP-rh,THA-VP-lh,Hippocampus,Thal_post,0.03639058440475858,0.029798625355146446,-0.006591959049612132,0.006591959049612132
THA-DA-rh,NAc-shell-lh,Thal_ant,Accumbens,0.04468103965754001,0.03835629032269661,-0.006324749334843401,0.006324749334843401
lAMY-rh,THA-DP-lh,Amygdala,Thal_post,0.05873242315239098,0.0650527875965141,0.006320364444123122,0.006320364444123122
THA-DP-rh,THA-VA-lh,Thal_post,Thal_ant,0.05639102619042239,0.06270288612479098,0.0063118599343685924,0.0063118599343685924
lAMY-rh,NAc-core-lh,Amygdala,Accumbens,-0.01251766224873686,-0.01878908746514251,-0.006271425216405651,0.006271425216405651
THA-DP-rh,pHIP-lh,Thal_post,Hippocampus,0.1620510933832693,0.16819198272008481,0.006140889336815503,0.006140889336815503
THA-DA-rh,aHIP-lh,Thal_ant,Hippocampus,-0.042406191926577054,-0.04847056154392538,-0.006064369617348325,0.006064369617348325
pGP-rh,THA-DP-lh,Pallidum,Thal_post,0.01028154206644877,0.016174871075001852,0.005893329008553083,0.005893329008553083
mAMY-rh,pGP-lh,Amygdala,Pallidum,0.0104235556667424,0.016061805180005724,0.005638249513263324,0.005638249513263324
aGP-rh,mAMY-lh,Pallidum,Amygdala,-0.02726341741266711,-0.032787758309233174,-0.0055243408965660636,0.0055243408965660636
THA-DA-lh,NAc-shell-lh,Thal_ant,Accumbens,0.05605031045002884,0.06156996855194952,0.005519658101920677,0.005519658101920677
aCAU-rh,NAc-shell-lh,Caudate,Accumbens,0.21497414594686617,0.20972450963155276,-0.005249636315313416,0.005249636315313416
pCAU-rh,lAMY-lh,Caudate,Amygdala,-0.0679391910416821,-0.06274586517760476,0.005193325864077336,0.005193325864077336
aGP-rh,THA-DP-lh,Pallidum,Thal_post,-0.009469692430414537,-0.01460496307638759,-0.005135270645973052,0.005135270645973052
aCAU-rh,THA-DA-lh,Caudate,Thal_ant,0.11998926428096722,0.12505038182691255,0.0050611175459453345,0.0050611175459453345
mAMY-lh,pPUT-lh,Amygdala,Putamen,0.06458257004704947,0.05959617437392856,-0.004986395673120911,0.004986395673120911
pGP-rh,mAMY-lh,Pallidum,Amygdala,0.007615675187476369,0.0026620833389269074,-0.004953591848549462,0.004953591848549462
lAMY-lh,pPUT-lh,Amygdala,Putamen,0.023646442911135702,0.018796292846626865,-0.004850150064508837,0.004850150064508837
lAMY-rh,THA-VP-rh,Amygdala,Thal_post,0.02765844842863232,0.03248291015953874,0.004824461730906421,0.004824461730906421
pHIP-lh,THA-DP-lh,Hippocampus,Thal_post,0.2188563533880615,0.22358852557404713,0.0047321721859856225,0.0047321721859856225
pPUT-rh,THA-VP-lh,Putamen,Thal_post,0.13791684287048486,0.14257230433337953,0.004655461462894667,0.004655461462894667
pHIP-rh,NAc-shell-rh,Hippocampus,Accumbens,0.09039380182521543,0.0858632193084613,-0.004530582516754131,0.004530582516754131
lAMY-rh,pPUT-lh,Amygdala,Putamen,0.005837483045436802,0.010356845841249273,0.004519362795812471,0.004519362795812471
