feature,importance_gain,fold
connection_to_RH_DorsAttnB_FEF_1,0.009436879,3
connection_to_RH_SalVentAttnA_FrOper_1,0.009401499,3
connection_to_RH_LimbicA_TempPole_1,0.00938393,3
connection_to_RH_DorsAttnA_SPL_3,0.009357485,3
connection_to_RH_SomMotA_6,0.009348985,3
connection_to_RH_ContB_PFCld_3,0.009335046,3
connection_to_RH_SalVentAttnA_Ins_1,0.009310912,3
connection_to_RH_LimbicB_OFC_3,0.009141937,3
connection_to_RH_ContC_Cingp_1,0.009091733,3
connection_to_pHIP-rh,0.009079837,3
connection_to_RH_DefaultB_PFCd_1,0.008992249,3
connection_to_RH_SalVentAttnB_Ins_1,0.008931436,3
connection_to_RH_ContB_PFCmp_1,0.00889631,3
connection_to_RH_VisPeri_ExStrInf_2,0.00889457,3
connection_to_RH_LimbicA_TempPole_3,0.008882704,3
connection_to_RH_TempPar_3,0.008860433,3
connection_to_RH_LimbicB_OFC_1,0.008752391,3
connection_to_RH_DorsAttnB_PostC_1,0.008733416,3
connection_to_RH_SalVentAttnA_ParMed_2,0.008732288,3
connection_to_RH_SalVentAttnA_PrC_1,0.008717733,3
connection_to_RH_SomMotA_1,0.008700529,3
connection_to_RH_TempPar_1,0.008658719,3
connection_to_RH_DefaultA_PFCd_1,0.008576867,3
connection_to_RH_DorsAttnB_PostC_4,0.008497521,3
connection_to_RH_DefaultC_IPL_1,0.008492404,3
connection_to_aCAU-rh,0.0084901145,3
connection_to_RH_LimbicB_OFC_4,0.008480363,3
connection_to_RH_DefaultA_PFCm_1,0.008471364,3
connection_to_RH_SomMotB_S2_3,0.008460103,3
connection_to_pCAU-rh,0.008400091,3
connection_to_RH_ContC_pCun_2,0.008388725,3
connection_to_RH_SalVentAttnA_ParOper_1,0.008381894,3
connection_to_lAMY-rh,0.008374684,3
connection_to_RH_DefaultA_PFCm_3,0.008361985,3
connection_to_THA-DP-rh,0.008354631,3
connection_to_RH_DefaultC_Rsp_1,0.008277579,3
connection_to_THA-DA-rh,0.008274102,3
connection_to_mAMY-rh,0.008235096,3
connection_to_RH_TempPar_2,0.008230052,3
connection_to_RH_ContB_PFClv_2,0.008211303,3
connection_to_RH_DorsAttnA_TempOcc_1,0.008195084,3
connection_to_RH_SalVentAttnB_PFCmp_1,0.008129721,3
connection_to_RH_ContB_Temp_1,0.008038847,3
connection_to_RH_SomMotA_8,0.008007385,3
connection_to_RH_DorsAttnA_ParOcc_1,0.007942737,3
connection_to_RH_LimbicB_OFC_2,0.007908938,3
connection_to_RH_ContA_IPS_2,0.0077821105,3
connection_to_RH_VisPeri_ExStrSup_3,0.007711699,3
connection_to_RH_DorsAttnA_SPL_2,0.0077055385,3
connection_to_RH_ContB_IPL_1,0.0076328632,3
connection_to_RH_SomMotA_11,0.0076074186,3
connection_to_RH_SalVentAttnB_PFClv_1,0.0075623468,3
connection_to_RH_DefaultA_pCunPCC_1,0.0075433757,3
connection_to_aHIP-rh,0.007540738,3
connection_to_RH_TempPar_4,0.0074471063,3
connection_to_RH_SomMotA_3,0.0074452325,3
connection_to_RH_SalVentAttnA_Ins_2,0.0074257976,3
connection_to_RH_SalVentAttnA_FrMed_1,0.007409329,3
connection_to_RH_DefaultC_PHC_1,0.0073959935,3
connection_to_RH_ContB_IPL_2,0.0073844115,3
connection_to_RH_ContB_PFClv_1,0.0070702014,3
connection_to_RH_DorsAttnB_PostC_3,0.0070657027,3
connection_to_RH_ContA_PFCd_1,0.007039724,3
connection_to_RH_SalVentAttnB_PFCl_1,0.00702961,3
connection_to_RH_DefaultB_PFCv_1,0.0069433716,3
connection_to_RH_VisCent_Striate_1,0.006854863,3
connection_to_RH_ContA_PFCl_2,0.006845867,3
connection_to_RH_VisCent_ExStr_2,0.00681619,3
connection_to_RH_SalVentAttnB_Ins_2,0.006799302,3
connection_to_RH_ContA_PFCl_1,0.006788062,3
connection_to_RH_SalVentAttnA_FrMed_2,0.0067830677,3
connection_to_RH_SalVentAttnB_IPL_1,0.0067647086,3
connection_to_NAc-core-rh,0.0066959276,3
connection_to_RH_SomMotA_7,0.0066937194,3
connection_to_RH_SomMotA_2,0.0066158157,3
connection_to_RH_SomMotB_Cent_1,0.0064608487,3
connection_to_RH_DorsAttnA_SPL_1,0.006439051,3
connection_to_RH_DefaultA_IPL_1,0.0063235043,3
connection_to_RH_LimbicA_TempPole_4,0.0061711106,3
connection_to_RH_ContB_PFCld_1,0.0061398903,3
connection_to_RH_ContA_IPS_1,0.006133829,3
connection_to_RH_ContC_pCun_1,0.0059458707,3
connection_to_RH_DefaultB_Temp_1,0.005748363,3
connection_to_RH_VisPeri_ExStrSup_2,0.005608093,3
