region_idx,region_name,network,hemisphere,accuracy,error_rate,precision,recall,f1_score,fnr,fpr,n_samples,n_correct,n_errors,n_false_positives
89,LH_DefaultB_PFCd_3,DefaultB,left,0.97,0.030000000000000027,0.9371980676328503,0.97,0.9533169533169534,0.03,0.0002813852813852814,200,194,6,13
90,LH_DefaultB_PFCd_4,DefaultB,left,0.97,0.030000000000000027,0.9748743718592965,0.97,0.9724310776942355,0.03,0.00010822510822510823,200,194,6,5
91,LH_DefaultB_PFCv_1,DefaultB,left,0.945,0.05500000000000005,0.9356435643564357,0.945,0.9402985074626865,0.055,0.0002813852813852814,200,189,11,13
92,LH_DefaultB_PFCv_2,DefaultB,left,0.78,0.21999999999999997,0.8342245989304813,0.78,0.806201550387597,0.22,0.000670995670995671,200,156,44,31
93,LH_DefaultB_PFCv_3,DefaultB,left,0.94,0.06000000000000005,0.9543147208121827,0.94,0.947103274559194,0.06,0.0001948051948051948,200,188,12,9
94,LH_DefaultB_PFCv_4,DefaultB,left,0.935,0.06499999999999995,0.9946808510638298,0.935,0.9639175257731958,0.065,2.1645021645021645e-05,200,187,13,1
95,LH_DefaultC_IPL_1,DefaultC,left,0.95,0.050000000000000044,0.9844559585492227,0.95,0.9669211195928753,0.05,6.493506493506494e-05,200,190,10,3
96,LH_DefaultC_Rsp_1,DefaultC,left,0.985,0.015000000000000013,1.0,0.985,0.9924433249370278,0.015,0.0,200,197,3,0
97,LH_DefaultC_PHC_1,DefaultC,left,0.945,0.05500000000000005,0.9043062200956937,0.945,0.9242053789731052,0.055,0.0004329004329004329,200,189,11,20
98,LH_TempPar_1,TempPar,left,0.81,0.18999999999999995,0.9101123595505618,0.81,0.8571428571428572,0.19,0.0003463203463203463,200,162,38,16
99,LH_TempPar_2,TempPar,left,0.8,0.19999999999999996,0.7207207207207207,0.8,0.7582938388625592,0.2,0.001341991341991342,200,160,40,62
100,RH_VisCent_ExStr_1,VisCent,right,0.99,0.010000000000000009,1.0,0.99,0.9949748743718593,0.01,0.0,200,198,2,0
101,RH_VisCent_ExStr_2,VisCent,right,0.91,0.08999999999999997,0.994535519125683,0.91,0.9503916449086162,0.09,2.1645021645021645e-05,200,182,18,1
102,RH_VisCent_Striate_1,VisCent,right,0.965,0.03500000000000003,0.9897435897435898,0.965,0.9772151898734178,0.035,4.329004329004329e-05,200,193,7,2
103,RH_VisCent_ExStr_3,VisCent,right,0.915,0.08499999999999996,0.9481865284974094,0.915,0.9312977099236642,0.085,0.00021645021645021645,200,183,17,10
104,RH_VisCent_ExStr_4,VisCent,right,0.945,0.05500000000000005,0.9692307692307692,0.945,0.9569620253164557,0.055,0.00012987012987012987,200,189,11,6
105,RH_VisCent_ExStr_5,VisCent,right,0.985,0.015000000000000013,1.0,0.985,0.9924433249370278,0.015,0.0,200,197,3,0
