region_i_idx,region_j_idx,region_i,region_j,network_i,network_j,hemisphere_i,hemisphere_j,asymmetry,i_to_j_rate,j_to_i_rate,asymmetry_ratio
162,217,RH_LimbicA_TempPole_3,pHIP-lh,LimbicA,Hippocampus_post,right,left,-0.00892857142857143,0.013392857142857142,0.022321428571428572,0.6
12,118,LH_SomMotA_1,RH_SomMotA_7,SomMotA,SomMotA,left,right,-0.008928571428571428,0.0,0.008928571428571428,0.0
8,217,LH_VisPeri_ExStrInf_3,pHIP-lh,VisPeri,Hippocampus_post,left,left,0.008928571428571428,0.008928571428571428,0.0,inf
14,38,LH_SomMotA_3,LH_DorsAttnB_FEF_1,SomMotA,DorsAttnB,left,left,-0.008928571428571428,0.0,0.008928571428571428,0.0
14,118,LH_SomMotA_3,RH_SomMotA_7,SomMotA,SomMotA,left,right,-0.008928571428571428,0.0,0.008928571428571428,0.0
17,38,LH_SomMotA_6,LH_DorsAttnB_FEF_1,SomMotA,DorsAttnB,left,left,0.008928571428571428,0.008928571428571428,0.0,inf
13,54,LH_SomMotA_2,LH_LimbicA_TempPole_3,SomMotA,LimbicA,left,left,0.008928571428571428,0.008928571428571428,0.0,inf
8,204,LH_VisPeri_ExStrInf_3,THA-DP-rh,VisPeri,Thalamus_DP,left,right,-0.008928571428571428,0.004464285714285714,0.013392857142857142,0.3333333333333333
22,144,LH_SomMotB_S2_1,RH_SalVentAttnA_Ins_2,SomMotB,SalVentAttnA,left,right,-0.008928571428571428,0.0,0.008928571428571428,0.0
22,210,LH_SomMotB_S2_1,pGP-rh,SomMotB,Pallidum_post,left,right,-0.008928571428571428,0.0,0.008928571428571428,0.0
25,40,LH_SomMotB_S2_3,LH_SalVentAttnA_Ins_1,SomMotB,SalVentAttnA,left,left,-0.008928571428571428,0.0,0.008928571428571428,0.0
28,30,LH_DorsAttnA_TempOcc_1,LH_DorsAttnA_ParOcc_1,DorsAttnA,DorsAttnA,left,left,0.008928571428571428,0.008928571428571428,0.0,inf
28,64,LH_DorsAttnA_TempOcc_1,LH_ContA_PFCl_3,DorsAttnA,ContA,left,left,-0.008928571428571428,0.0,0.008928571428571428,0.0
29,163,LH_DorsAttnA_TempOcc_2,RH_LimbicA_TempPole_4,DorsAttnA,LimbicA,left,right,0.008928571428571428,0.013392857142857142,0.004464285714285714,3.0
211,219,aGP-rh,mAMY-lh,Pallidum_ant,Amygdala_med,right,left,-0.008928571428571428,0.0,0.008928571428571428,0.0
211,220,aGP-rh,THA-DP-lh,Pallidum_ant,Thalamus_DP,right,left,-0.008928571428571428,0.0,0.008928571428571428,0.0
212,226,aPUT-rh,pGP-lh,Putamen_ant,Pallidum_post,right,left,0.008928571428571428,0.008928571428571428,0.0,inf
214,225,aCAU-rh,NAc-core-lh,Caudate_ant,Accumbens_core,right,left,0.008928571428571428,0.008928571428571428,0.0,inf
216,220,aHIP-lh,THA-DP-lh,Hippocampus_ant,Thalamus_DP,left,left,0.008928571428571428,0.008928571428571428,0.0,inf
217,220,pHIP-lh,THA-DP-lh,Hippocampus_post,Thalamus_DP,left,left,-0.008928571428571428,0.004464285714285714,0.013392857142857142,0.3333333333333333
218,227,lAMY-lh,aGP-lh,Amygdala_lat,Pallidum_ant,left,left,-0.008928571428571428,0.0,0.008928571428571428,0.0
220,227,THA-DP-lh,aGP-lh,Thalamus_DP,Pallidum_ant,left,left,-0.008928571428571428,0.008928571428571428,0.017857142857142856,0.5
53,210,LH_LimbicA_TempPole_2,pGP-rh,LimbicA,Pallidum_post,left,right,-0.008928571428571428,0.004464285714285714,0.013392857142857142,0.3333333333333333
53,227,LH_LimbicA_TempPole_2,aGP-lh,LimbicA,Pallidum_ant,left,left,0.008928571428571428,0.008928571428571428,0.0,inf
54,83,LH_LimbicA_TempPole_3,LH_DefaultB_Temp_2,LimbicA,DefaultB,left,left,-0.008928571428571428,0.0,0.008928571428571428,0.0
54,114,LH_LimbicA_TempPole_3,RH_SomMotA_3,LimbicA,SomMotA,left,right,0.008928571428571428,0.008928571428571428,0.0,inf
54,211,LH_LimbicA_TempPole_3,aGP-rh,LimbicA,Pallidum_ant,left,right,0.008928571428571428,0.008928571428571428,0.0,inf
54,218,LH_LimbicA_TempPole_3,lAMY-lh,LimbicA,Amygdala_lat,left,left,0.008928571428571428,0.008928571428571428,0.0,inf
54,219,LH_LimbicA_TempPole_3,mAMY-lh,LimbicA,Amygdala_med,left,left,0.008928571428571428,0.008928571428571428,0.0,inf
54,220,LH_LimbicA_TempPole_3,THA-DP-lh,LimbicA,Thalamus_DP,left,left,0.008928571428571428,0.008928571428571428,0.0,inf
54,226,LH_LimbicA_TempPole_3,pGP-lh,LimbicA,Pallidum_post,left,left,-0.008928571428571428,0.0,0.008928571428571428,0.0
55,93,LH_LimbicA_TempPole_4,LH_DefaultB_PFCv_3,LimbicA,DefaultB,left,left,-0.008928571428571428,0.0,0.008928571428571428,0.0
55,98,LH_LimbicA_TempPole_4,LH_TempPar_1,LimbicA,TempPar,left,left,-0.008928571428571428,0.0,0.008928571428571428,0.0
55,143,LH_LimbicA_TempPole_4,RH_SalVentAttnA_Ins_1,LimbicA,SalVentAttnA,left,right,0.008928571428571428,0.008928571428571428,0.0,inf
55,153,LH_LimbicA_TempPole_4,RH_SalVentAttnB_Ins_1,LimbicA,SalVentAttnB,left,right,0.008928571428571428,0.013392857142857142,0.004464285714285714,3.0
55,161,LH_LimbicA_TempPole_4,RH_LimbicA_TempPole_2,LimbicA,LimbicA,left,right,0.008928571428571428,0.013392857142857142,0.004464285714285714,3.0
55,169,LH_LimbicA_TempPole_4,RH_ContA_Cingm_1,LimbicA,ContA,left,right,0.008928571428571428,0.008928571428571428,0.0,inf
55,170,LH_LimbicA_TempPole_4,RH_ContB_Temp_1,LimbicA,ContB,left,right,-0.008928571428571428,0.0,0.008928571428571428,0.0
20,98,LH_SomMotB_Aud_1,LH_TempPar_1,SomMotB,TempPar,left,left,-0.008928571428571428,0.0,0.008928571428571428,0.0
