region_idx,region_name,network,hemisphere,tp,fp,fn,bias_index,is_overpredicted,is_underpredicted
148,RH_SalVentAttnA_ParMed_2,SalVentAttnA,right,192,9,8,0.05882352941141869,False,False
149,RH_SalVentAttnA_FrMed_2,SalVentAttnA,right,184,7,16,-0.39130434782438567,False,True
150,RH_SalVentAttnB_IPL_1,SalVentAttnB,right,185,10,15,-0.1999999999992,False,False
151,RH_SalVentAttnB_PFClv_1,SalVentAttnB,right,183,13,17,-0.1333333333328889,False,False
152,RH_SalVentAttnB_PFCl_1,SalVentAttnB,right,188,18,12,0.19999999999933335,False,False
153,RH_SalVentAttnB_Ins_1,SalVentAttnB,right,189,37,11,0.5416666666655382,True,False
154,RH_SalVentAttnB_Ins_2,SalVentAttnB,right,187,4,13,-0.5294117647027682,False,True
155,RH_SalVentAttnB_PFCmp_1,SalVentAttnB,right,186,4,14,-0.5555555555524692,False,True
156,RH_LimbicB_OFC_1,LimbicB,right,185,31,15,0.34782608695576556,True,False
157,RH_LimbicB_OFC_2,LimbicB,right,192,20,8,0.428571428569898,True,False
158,RH_LimbicB_OFC_3,LimbicB,right,186,2,14,-0.7499999999953126,False,True
159,RH_LimbicB_OFC_4,LimbicB,right,184,10,16,-0.23076923076834321,False,True
160,RH_LimbicA_TempPole_1,LimbicA,right,172,50,28,0.28205128205092045,True,False
161,RH_LimbicA_TempPole_2,LimbicA,right,139,74,61,0.09629629629622498,False,False
162,RH_LimbicA_TempPole_3,LimbicA,right,151,78,49,0.2283464566927336,True,False
163,RH_LimbicA_TempPole_4,LimbicA,right,179,16,21,-0.1351351351347699,False,False
164,RH_ContA_IPS_1,ContA,right,196,8,4,0.33333333333055554,True,False
165,RH_ContA_IPS_2,ContA,right,192,2,8,-0.599999999994,False,True
166,RH_ContA_PFCd_1,ContA,right,179,15,21,-0.1666666666662037,False,False
167,RH_ContA_PFCl_1,ContA,right,151,6,49,-0.7818181818167603,False,True
168,RH_ContA_PFCl_2,ContA,right,190,16,10,0.23076923076834321,True,False
169,RH_ContA_Cingm_1,ContA,right,159,25,41,-0.2424242424238751,False,True
170,RH_ContB_Temp_1,ContB,right,183,2,17,-0.7894736842063713,False,True
171,RH_ContB_Temp_2,ContB,right,186,14,14,0.0,False,False
172,RH_ContB_IPL_1,ContB,right,193,2,7,-0.5555555555493827,False,True
173,RH_ContB_IPL_2,ContB,right,195,9,5,0.2857142857122449,True,False
174,RH_ContB_PFCld_1,ContB,right,162,32,38,-0.08571428571416326,False,False
175,RH_ContB_PFCld_2,ContB,right,194,13,6,0.3684210526296399,True,False
176,RH_ContB_PFClv_1,ContB,right,193,18,7,0.43999999999824,True,False
177,RH_ContB_PFClv_2,ContB,right,186,15,14,0.03448275862057075,False,False
178,RH_ContB_PFCmp_1,ContB,right,197,21,3,0.749999999996875,True,False
179,RH_ContB_PFCld_3,ContB,right,186,0,14,-0.9999999999928572,False,True
180,RH_ContC_pCun_1,ContC,right,189,1,11,-0.8333333333263889,False,True
181,RH_ContC_pCun_2,ContC,right,171,3,29,-0.8124999999974609,False,True
182,RH_ContC_Cingp_1,ContC,right,186,2,14,-0.7499999999953126,False,True
183,RH_DefaultA_IPL_1,DefaultA,right,189,18,11,0.24137931034399526,True,False
184,RH_DefaultA_PFCd_1,DefaultA,right,171,17,29,-0.2608695652168242,False,True
185,RH_DefaultA_pCunPCC_1,DefaultA,right,191,1,9,-0.799999999992,False,True
186,RH_DefaultA_PFCm_1,DefaultA,right,186,5,14,-0.47368421052382276,False,True
187,RH_DefaultA_PFCm_2,DefaultA,right,151,149,49,0.50505050505025,True,False
188,RH_DefaultA_PFCm_3,DefaultA,right,193,0,7,-0.9999999999857143,False,True
189,RH_DefaultB_Temp_1,DefaultB,right,186,17,14,0.09677419354807493,False,False
190,RH_DefaultB_AntTemp_1,DefaultB,right,167,2,33,-0.885714285711755,False,True
191,RH_DefaultB_PFCd_1,DefaultB,right,192,7,8,-0.06666666666622222,False,False
192,RH_DefaultB_PFCv_1,DefaultB,right,194,3,6,-0.3333333333296296,False,True
193,RH_DefaultC_IPL_1,DefaultC,right,177,7,23,-0.5333333333315556,False,True
194,RH_DefaultC_Rsp_1,DefaultC,right,195,0,5,-0.99999999998,False,True
195,RH_DefaultC_PHC_1,DefaultC,right,188,7,12,-0.2631578947354571,False,True
196,RH_TempPar_1,TempPar,right,172,13,28,-0.365853658535693,False,True
197,RH_TempPar_2,TempPar,right,167,20,33,-0.24528301886746173,False,True
198,RH_TempPar_3,TempPar,right,177,36,23,0.220338983050474,True,False
199,RH_TempPar_4,TempPar,right,176,41,24,0.26153846153805915,True,False
200,aHIP-rh,Hippocampus_ant,right,168,9,32,-0.5609756097547293,False,True
201,pHIP-rh,Hippocampus_post,right,136,94,64,0.18987341772139882,False,False
202,lAMY-rh,Amygdala_lat,right,127,145,73,0.3302752293576467,True,False
203,mAMY-rh,Amygdala_med,right,160,32,40,-0.11111111111095678,False,False
204,THA-DP-rh,Thalamus_DP,right,136,149,64,0.39906103286366246,True,False
205,THA-VP-rh,Thalamus_VP,right,136,65,64,0.007751937984490116,False,False
206,THA-VA-rh,Thalamus_VA,right,164,6,36,-0.7142857142840136,False,True
207,THA-DA-rh,Thalamus_DA,right,169,34,31,0.046153846153775144,False,False
208,NAc-shell-rh,Accumbens_shell,right,138,69,62,0.053435114503776006,False,False
209,NAc-core-rh,Accumbens_core,right,169,38,31,0.10144927536217181,False,False
210,pGP-rh,Pallidum_post,right,93,257,107,0.4120879120877989,True,False
211,aGP-rh,Pallidum_ant,right,53,212,147,0.1810584958216766,False,False
212,aPUT-rh,Putamen_ant,right,180,4,20,-0.666666666663889,False,True
213,pPUT-rh,Putamen_post,right,163,20,37,-0.29824561403456445,False,True
214,aCAU-rh,Caudate_ant,right,193,9,7,0.12499999999921876,False,False
215,pCAU-rh,Caudate_post,right,175,8,25,-0.515151515149954,False,True
216,aHIP-lh,Hippocampus_ant,left,168,36,32,0.0588235294116782,False,False
217,pHIP-lh,Hippocampus_post,left,137,91,63,0.18181818181806378,False,False
218,lAMY-lh,Amygdala_lat,left,154,74,46,0.23333333333313888,True,False
219,mAMY-lh,Amygdala_med,left,165,46,35,0.13580246913563482,False,False
220,THA-DP-lh,Thalamus_DP,left,154,88,46,0.31343283582066167,True,False
221,THA-VP-lh,Thalamus_VP,left,145,61,55,0.05172413793098989,False,False
222,THA-VA-lh,Thalamus_VA,left,170,6,30,-0.6666666666648148,False,True
223,THA-DA-lh,Thalamus_DA,left,166,17,34,-0.3333333333326797,False,True
224,NAc-shell-lh,Accumbens_shell,left,148,61,52,0.07964601769904456,False,False
225,NAc-core-lh,Accumbens_core,left,156,53,44,0.09278350515454352,False,False
226,pGP-lh,Pallidum_post,left,83,165,117,0.17021276595738646,False,False
227,aGP-lh,Pallidum_ant,left,48,233,152,0.21038961038955575,True,False
228,aPUT-lh,Putamen_ant,left,179,4,21,-0.67999999999728,False,True
229,pPUT-lh,Putamen_post,left,156,14,44,-0.517241379309453,False,True
230,aCAU-lh,Caudate_ant,left,182,12,18,-0.19999999999933335,False,False
231,pCAU-lh,Caudate_post,left,179,15,21,-0.1666666666662037,False,False
