true_idx,pred_idx,error_rate,error_type,true_region,pred_region,true_network,pred_network,true_hemisphere,pred_hemisphere
22,205,0.008928571428571428,cross_hemi_diff_network,LH_SomMotB_S2_1,THA-VP-rh,SomMotB,Thalamus_VP,left,right
22,209,0.004464285714285714,cross_hemi_diff_network,LH_SomMotB_S2_1,NAc-core-rh,SomMotB,Accumbens_core,left,right
22,221,0.013392857142857142,cross_network_same_hemi,LH_SomMotB_S2_1,THA-VP-lh,SomMotB,Thalamus_VP,left,left
22,226,0.008928571428571428,cross_network_same_hemi,LH_SomMotB_S2_1,pGP-lh,SomMotB,Pallidum_post,left,left
23,221,0.004464285714285714,cross_network_same_hemi,LH_SomMotB_S2_2,THA-VP-lh,SomMotB,Thalamus_VP,left,left
23,226,0.004464285714285714,cross_network_same_hemi,LH_SomMotB_S2_2,pGP-lh,SomMotB,Pallidum_post,left,left
24,20,0.004464285714285714,within_network,LH_SomMotB_Aud_3,LH_SomMotB_Aud_1,SomMotB,SomMotB,left,left
24,40,0.004464285714285714,cross_network_same_hemi,LH_SomMotB_Aud_3,LH_SalVentAttnA_Ins_1,SomMotB,SalVentAttnA,left,left
24,41,0.004464285714285714,cross_network_same_hemi,LH_SomMotB_Aud_3,LH_SalVentAttnA_FrOper_1,SomMotB,SalVentAttnA,left,left
24,45,0.004464285714285714,cross_network_same_hemi,LH_SomMotB_Aud_3,LH_SalVentAttnA_FrMed_2,SomMotB,SalVentAttnA,left,left
24,91,0.004464285714285714,cross_network_same_hemi,LH_SomMotB_Aud_3,LH_DefaultB_PFCv_1,SomMotB,DefaultB,left,left
24,98,0.004464285714285714,cross_network_same_hemi,LH_SomMotB_Aud_3,LH_TempPar_1,SomMotB,TempPar,left,left
24,99,0.004464285714285714,cross_network_same_hemi,LH_SomMotB_Aud_3,LH_TempPar_2,SomMotB,TempPar,left,left
24,143,0.004464285714285714,cross_hemi_diff_network,LH_SomMotB_Aud_3,RH_SalVentAttnA_Ins_1,SomMotB,SalVentAttnA,left,right
24,144,0.008928571428571428,cross_hemi_diff_network,LH_SomMotB_Aud_3,RH_SalVentAttnA_Ins_2,SomMotB,SalVentAttnA,left,right
24,147,0.004464285714285714,cross_hemi_diff_network,LH_SomMotB_Aud_3,RH_SalVentAttnA_ParMed_1,SomMotB,SalVentAttnA,left,right
24,198,0.004464285714285714,cross_hemi_diff_network,LH_SomMotB_Aud_3,RH_TempPar_3,SomMotB,TempPar,left,right
24,216,0.004464285714285714,cross_network_same_hemi,LH_SomMotB_Aud_3,aHIP-lh,SomMotB,Hippocampus_ant,left,left
25,36,0.004464285714285714,cross_network_same_hemi,LH_SomMotB_S2_3,LH_DorsAttnB_PostC_3,SomMotB,DorsAttnB,left,left
25,124,0.004464285714285714,within_network,LH_SomMotB_S2_3,RH_SomMotB_Aud_2,SomMotB,SomMotB,left,right
25,127,0.004464285714285714,within_network,LH_SomMotB_S2_3,RH_SomMotB_S2_3,SomMotB,SomMotB,left,right
25,143,0.008928571428571428,cross_hemi_diff_network,LH_SomMotB_S2_3,RH_SalVentAttnA_Ins_1,SomMotB,SalVentAttnA,left,right
25,204,0.004464285714285714,cross_hemi_diff_network,LH_SomMotB_S2_3,THA-DP-rh,SomMotB,Thalamus_DP,left,right
25,219,0.004464285714285714,cross_network_same_hemi,LH_SomMotB_S2_3,mAMY-lh,SomMotB,Amygdala_med,left,left
26,126,0.004464285714285714,within_network,LH_SomMotB_Cent_1,RH_SomMotB_S2_2,SomMotB,SomMotB,left,right
26,210,0.004464285714285714,cross_hemi_diff_network,LH_SomMotB_Cent_1,pGP-rh,SomMotB,Pallidum_post,left,right
27,8,0.004464285714285714,cross_network_same_hemi,LH_SomMotB_Cent_2,LH_VisPeri_ExStrInf_3,SomMotB,VisPeri,left,left
27,55,0.004464285714285714,cross_network_same_hemi,LH_SomMotB_Cent_2,LH_LimbicA_TempPole_4,SomMotB,LimbicA,left,left
27,59,0.004464285714285714,cross_network_same_hemi,LH_SomMotB_Cent_2,LH_ContA_IPS_3,SomMotB,ContA,left,left
27,103,0.004464285714285714,cross_hemi_diff_network,LH_SomMotB_Cent_2,RH_VisCent_ExStr_3,SomMotB,VisCent,left,right
