region_idx,region_name,network,hemisphere,accuracy,error_rate,precision,recall,f1_score,fnr,fpr,n_samples,n_correct,n_errors,n_false_positives
43,LH_SalVentAttnA_ParMed_1,SalVentAttnA,left,0.9598214285714286,0.0401785714285714,0.9817351598173516,0.9598214285714286,0.9706546275395034,0.04017857142857143,7.730364873222017e-05,224,215,9,4
44,LH_SalVentAttnA_FrMed_1,SalVentAttnA,left,0.9910714285714286,0.008928571428571397,0.9910714285714286,0.9910714285714286,0.9910714285714286,0.008928571428571428,3.865182436611008e-05,224,222,2,2
45,LH_SalVentAttnA_FrMed_2,SalVentAttnA,left,0.9598214285714286,0.0401785714285714,0.9598214285714286,0.9598214285714286,0.9598214285714286,0.04017857142857143,0.00017393320964749536,224,215,9,9
46,LH_SalVentAttnB_IPL_1,SalVentAttnB,left,0.9107142857142857,0.0892857142857143,0.9107142857142857,0.9107142857142857,0.9107142857142857,0.08928571428571429,0.0003865182436611008,224,204,20,20
47,LH_SalVentAttnB_PFCl_1,SalVentAttnB,left,0.9285714285714286,0.0714285714285714,0.9203539823008849,0.9285714285714286,0.9244444444444444,0.07142857142857142,0.0003478664192949907,224,208,16,18
48,LH_SalVentAttnB_Ins_1,SalVentAttnB,left,0.9464285714285714,0.0535714285714286,0.954954954954955,0.9464285714285714,0.9506726457399103,0.05357142857142857,0.0001932591218305504,224,212,12,10
49,LH_SalVentAttnB_PFCmp_1,SalVentAttnB,left,0.9642857142857143,0.0357142857142857,0.9908256880733946,0.9642857142857143,0.9773755656108598,0.03571428571428571,3.865182436611008e-05,224,216,8,2
50,LH_LimbicB_OFC_1,LimbicB,left,0.8125,0.1875,0.7679324894514767,0.8125,0.789587852494577,0.1875,0.0010629251700680273,224,182,42,55
51,LH_LimbicB_OFC_2,LimbicB,left,0.9419642857142857,0.0580357142857143,0.9504504504504504,0.9419642857142857,0.9461883408071748,0.05803571428571429,0.00021258503401360543,224,211,13,11
52,LH_LimbicA_TempPole_1,LimbicA,left,0.8794642857142857,0.1205357142857143,0.8640350877192983,0.8794642857142857,0.8716814159292036,0.12053571428571429,0.0005991032776747063,224,197,27,31
53,LH_LimbicA_TempPole_2,LimbicA,left,0.8080357142857143,0.1919642857142857,0.8264840182648402,0.8080357142857143,0.817155756207675,0.19196428571428573,0.0007343846629560915,224,181,43,38
54,LH_LimbicA_TempPole_3,LimbicA,left,0.8125,0.1875,0.7647058823529411,0.8125,0.787878787878788,0.1875,0.0010822510822510823,224,182,42,56
55,LH_LimbicA_TempPole_4,LimbicA,left,0.6919642857142857,0.3080357142857143,0.603112840466926,0.6919642857142857,0.6444906444906444,0.3080357142857143,0.001971243042671614,224,155,69,102
56,LH_ContA_Temp_1,ContA,left,0.8705357142857143,0.1294642857142857,0.8227848101265823,0.8705357142857143,0.8459869848156183,0.12946428571428573,0.0008116883116883117,224,195,29,42
57,LH_ContA_IPS_1,ContA,left,0.9553571428571429,0.044642857142857095,0.9771689497716894,0.9553571428571429,0.9661399548532732,0.044642857142857144,9.66295609152752e-05,224,214,10,5
58,LH_ContA_IPS_2,ContA,left,0.9464285714285714,0.0535714285714286,0.9636363636363636,0.9464285714285714,0.9549549549549549,0.05357142857142857,0.00015460729746444033,224,212,12,8
59,LH_ContA_IPS_3,ContA,left,0.9375,0.0625,0.9375,0.9375,0.9375,0.0625,0.00027056277056277056,224,210,14,14
60,LH_ContA_PFCd_1,ContA,left,0.9241071428571429,0.0758928571428571,0.9452054794520548,0.9241071428571429,0.9345372460496614,0.07589285714285714,0.00023191094619666049,224,207,17,12
61,LH_ContA_PFClv_1,ContA,left,0.9375,0.0625,0.9545454545454546,0.9375,0.9459459459459459,0.0625,0.0001932591218305504,224,210,14,10
62,LH_ContA_PFCl_1,ContA,left,0.9642857142857143,0.0357142857142857,0.9557522123893806,0.9642857142857143,0.96,0.03571428571428571,0.0001932591218305504,224,216,8,10
63,LH_ContA_PFCl_2,ContA,left,0.9196428571428571,0.0803571428571429,0.8619246861924686,0.9196428571428571,0.8898488120950323,0.08035714285714286,0.0006377551020408163,224,206,18,33
64,LH_ContA_PFCl_3,ContA,left,0.875,0.125,0.8672566371681416,0.875,0.8711111111111112,0.125,0.0005797773654916512,224,196,28,30
65,LH_ContA_Cingm_1,ContA,left,0.9196428571428571,0.0803571428571429,0.9626168224299065,0.9196428571428571,0.9406392694063926,0.08035714285714286,0.00015460729746444033,224,206,18,8
66,LH_ContB_Temp_1,ContB,left,0.9196428571428571,0.0803571428571429,0.9279279279279279,0.9196428571428571,0.9237668161434976,0.08035714285714286,0.00030921459492888067,224,206,18,16
67,LH_ContB_IPL_1,ContB,left,0.9464285714285714,0.0535714285714286,0.9724770642201835,0.9464285714285714,0.9592760180995474,0.05357142857142857,0.00011595547309833024,224,212,12,6
68,LH_ContB_PFCl_1,ContB,left,0.9642857142857143,0.0357142857142857,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.03571428571428571,0.00015460729746444033,224,216,8,8
