region_idx,region_name,network,hemisphere,cv_error_rate,task_error_rate,error_increase,relative_increase_pct
120,RH_SomMotA_9,SomMotA,right,0.049107142857142905,0.040000000000000036,-0.00910714285714287,-18.545454507689264
121,RH_SomMotA_10,SomMotA,right,0.0267857142857143,0.015000000000000013,-0.011785714285714288,-43.99999983573332
122,RH_SomMotA_11,SomMotA,right,0.03125,0.06499999999999995,0.03374999999999995,107.99999965439983
123,RH_SomMotB_Aud_1,SomMotB,right,0.0535714285714286,0.10499999999999998,0.05142857142857138,95.99999982079986
124,RH_SomMotB_Aud_2,SomMotB,right,0.0669642857142857,0.11499999999999999,0.04803571428571429,71.7333332262116
125,RH_SomMotB_S2_1,SomMotB,right,0.0669642857142857,0.18500000000000005,0.11803571428571435,176.26666640344192
126,RH_SomMotB_S2_2,SomMotB,right,0.049107142857142905,0.13,0.0808928571428571,164.72727239182785
127,RH_SomMotB_S2_3,SomMotB,right,0.03125,0.14500000000000002,0.11375000000000002,363.9999988352001
128,RH_SomMotB_S2_4,SomMotB,right,0.0357142857142857,0.07999999999999996,0.04428571428571426,123.99999965279997
129,RH_SomMotB_Cent_1,SomMotB,right,0.017857142857142905,0.030000000000000027,0.012142857142857122,67.9999996191997
130,RH_DorsAttnA_TempOcc_1,DorsAttnA,right,0.0580357142857143,0.030000000000000027,-0.028035714285714275,-48.30769222445441
131,RH_DorsAttnA_ParOcc_1,DorsAttnA,right,0.1205357142857143,0.09499999999999997,-0.025535714285714328,-21.18518516760936
132,RH_DorsAttnA_SPL_1,DorsAttnA,right,0.049107142857142905,0.03500000000000003,-0.014107142857142874,-28.72727266877356
133,RH_DorsAttnA_SPL_2,DorsAttnA,right,0.0401785714285714,0.03500000000000003,-0.005178571428571366,-12.88888885680973
134,RH_DorsAttnA_SPL_3,DorsAttnA,right,0.044642857142857095,0.13,0.08535714285714291,191.1999995717123
135,RH_DorsAttnA_SPL_4,DorsAttnA,right,0.0401785714285714,0.08999999999999997,0.04982142857142857,123.99999969137787
136,RH_DorsAttnB_PostC_1,DorsAttnB,right,0.049107142857142905,0.12,0.07089285714285709,144.36363606965926
137,RH_DorsAttnB_PostC_2,DorsAttnB,right,0.0803571428571429,0.03500000000000003,-0.045357142857142874,-56.44444437420246
