true_idx,pred_idx,error_rate,error_type,true_region,pred_region,true_network,pred_network,true_hemisphere,pred_hemisphere
21,226,0.01,cross_network_same_hemi,LH_SomMotB_Aud_2,pGP-lh,SomMotB,Pallidum_post,left,left
22,20,0.005,within_network,LH_SomMotB_S2_1,LH_SomMotB_Aud_1,SomMotB,SomMotB,left,left
22,24,0.01,within_network,LH_SomMotB_S2_1,LH_SomMotB_Aud_3,SomMotB,SomMotB,left,left
22,40,0.01,cross_network_same_hemi,LH_SomMotB_S2_1,LH_SalVentAttnA_Ins_1,SomMotB,SalVentAttnA,left,left
22,55,0.005,cross_network_same_hemi,LH_SomMotB_S2_1,LH_LimbicA_TempPole_4,SomMotB,LimbicA,left,left
22,60,0.005,cross_network_same_hemi,LH_SomMotB_S2_1,LH_ContA_PFCd_1,SomMotB,ContA,left,left
22,111,0.005,cross_hemi_diff_network,LH_SomMotB_S2_1,RH_VisPeri_ExStrSup_3,SomMotB,VisPeri,left,right
22,118,0.005,cross_hemi_diff_network,LH_SomMotB_S2_1,RH_SomMotA_7,SomMotB,SomMotA,left,right
22,123,0.005,within_network,LH_SomMotB_S2_1,RH_SomMotB_Aud_1,SomMotB,SomMotB,left,right
22,124,0.01,within_network,LH_SomMotB_S2_1,RH_SomMotB_Aud_2,SomMotB,SomMotB,left,right
22,140,0.005,cross_hemi_diff_network,LH_SomMotB_S2_1,RH_DorsAttnB_FEF_1,SomMotB,DorsAttnB,left,right
22,142,0.005,cross_hemi_diff_network,LH_SomMotB_S2_1,RH_SalVentAttnA_PrC_1,SomMotB,SalVentAttnA,left,right
22,144,0.01,cross_hemi_diff_network,LH_SomMotB_S2_1,RH_SalVentAttnA_Ins_2,SomMotB,SalVentAttnA,left,right
22,162,0.005,cross_hemi_diff_network,LH_SomMotB_S2_1,RH_LimbicA_TempPole_3,SomMotB,LimbicA,left,right
22,187,0.005,cross_hemi_diff_network,LH_SomMotB_S2_1,RH_DefaultA_PFCm_2,SomMotB,DefaultA,left,right
22,199,0.005,cross_hemi_diff_network,LH_SomMotB_S2_1,RH_TempPar_4,SomMotB,TempPar,left,right
22,204,0.01,cross_hemi_diff_network,LH_SomMotB_S2_1,THA-DP-rh,SomMotB,Thalamus_DP,left,right
22,205,0.02,cross_hemi_diff_network,LH_SomMotB_S2_1,THA-VP-rh,SomMotB,Thalamus_VP,left,right
22,210,0.005,cross_hemi_diff_network,LH_SomMotB_S2_1,pGP-rh,SomMotB,Pallidum_post,left,right
22,211,0.015,cross_hemi_diff_network,LH_SomMotB_S2_1,aGP-rh,SomMotB,Pallidum_ant,left,right
22,216,0.005,cross_network_same_hemi,LH_SomMotB_S2_1,aHIP-lh,SomMotB,Hippocampus_ant,left,left
22,220,0.025,cross_network_same_hemi,LH_SomMotB_S2_1,THA-DP-lh,SomMotB,Thalamus_DP,left,left
22,222,0.005,cross_network_same_hemi,LH_SomMotB_S2_1,THA-VA-lh,SomMotB,Thalamus_VA,left,left
22,226,0.01,cross_network_same_hemi,LH_SomMotB_S2_1,pGP-lh,SomMotB,Pallidum_post,left,left
23,8,0.005,cross_network_same_hemi,LH_SomMotB_S2_2,LH_VisPeri_ExStrInf_3,SomMotB,VisPeri,left,left
23,24,0.005,within_network,LH_SomMotB_S2_2,LH_SomMotB_Aud_3,SomMotB,SomMotB,left,left
