region_idx,region_name,network,hemisphere,prediction_frequency,precision,is_sink,is_ghost
189,RH_DefaultB_Temp_1,DefaultB,right,222,0.9594594594594594,False,False
190,RH_DefaultB_AntTemp_1,DefaultB,right,218,0.963302752293578,False,False
191,RH_DefaultB_PFCd_1,DefaultB,right,213,0.9671361502347418,False,True
192,RH_DefaultB_PFCv_1,DefaultB,right,224,0.96875,False,False
193,RH_DefaultC_IPL_1,DefaultC,right,222,0.9414414414414415,False,False
194,RH_DefaultC_Rsp_1,DefaultC,right,223,1.0,False,False
195,RH_DefaultC_PHC_1,DefaultC,right,215,0.986046511627907,False,True
196,RH_TempPar_1,TempPar,right,220,0.9318181818181818,False,False
197,RH_TempPar_2,TempPar,right,222,0.9009009009009009,False,False
198,RH_TempPar_3,TempPar,right,215,0.9302325581395349,False,True
199,RH_TempPar_4,TempPar,right,225,0.9066666666666666,False,False
200,aHIP-rh,Hippocampus_ant,right,227,0.9162995594713657,False,False
201,pHIP-rh,Hippocampus_post,right,239,0.7824267782426778,True,False
202,lAMY-rh,Amygdala_lat,right,242,0.71900826446281,True,False
203,mAMY-rh,Amygdala_med,right,224,0.8571428571428571,False,False
204,THA-DP-rh,Thalamus_DP,right,238,0.7352941176470589,True,False
205,THA-VP-rh,Thalamus_VP,right,244,0.7786885245901639,True,False
206,THA-VA-rh,Thalamus_VA,right,222,0.9369369369369369,False,False
207,THA-DA-rh,Thalamus_DA,right,212,0.9386792452830188,False,True
208,NAc-shell-rh,Accumbens_shell,right,242,0.7479338842975206,True,False
209,NAc-core-rh,Accumbens_core,right,232,0.8491379310344828,False,False
210,pGP-rh,Pallidum_post,right,260,0.39615384615384613,True,False
211,aGP-rh,Pallidum_ant,right,271,0.4280442804428044,True,False
212,aPUT-rh,Putamen_ant,right,222,0.9774774774774775,False,False
213,pPUT-rh,Putamen_post,right,217,0.9493087557603687,False,False
214,aCAU-rh,Caudate_ant,right,226,0.9513274336283186,False,False
215,pCAU-rh,Caudate_post,right,217,0.967741935483871,False,False
216,aHIP-lh,Hippocampus_ant,left,216,0.9444444444444444,False,True
217,pHIP-lh,Hippocampus_post,left,243,0.7489711934156379,True,False
218,lAMY-lh,Amygdala_lat,left,240,0.7208333333333333,True,False
219,mAMY-lh,Amygdala_med,left,231,0.8354978354978355,False,False
220,THA-DP-lh,Thalamus_DP,left,232,0.7155172413793104,False,False
221,THA-VP-lh,Thalamus_VP,left,231,0.7878787878787878,False,False
222,THA-VA-lh,Thalamus_VA,left,215,0.9627906976744186,False,True
223,THA-DA-lh,Thalamus_DA,left,222,0.9099099099099099,False,False
224,NAc-shell-lh,Accumbens_shell,left,239,0.8200836820083682,True,False
225,NAc-core-lh,Accumbens_core,left,223,0.8923766816143498,False,False
226,pGP-lh,Pallidum_post,left,268,0.44029850746268656,True,False
227,aGP-lh,Pallidum_ant,left,271,0.42066420664206644,True,False
228,aPUT-lh,Putamen_ant,left,217,0.9815668202764977,False,False
229,pPUT-lh,Putamen_post,left,219,0.9452054794520548,False,False
230,aCAU-lh,Caudate_ant,left,215,0.9906976744186047,False,True
231,pCAU-lh,Caudate_post,left,221,0.9366515837104072,False,False
