region_idx,mean_confidence,std_confidence,mean_conf_correct,mean_conf_incorrect,confidence_gap,region_name,network
82,0.8574121761964157,0.20466871567891945,0.8896814285457645,0.3733733909561855,0.516308037589579,LH_DefaultB_Temp_1,DefaultB
83,0.7783488653983461,0.2634402931554286,0.8376379326373045,0.36332539472563824,0.4743125379116662,LH_DefaultB_Temp_2,DefaultB
84,0.8644123346817878,0.1945404234055716,0.8960511279391701,0.42357848196226183,0.47247264597690825,LH_DefaultB_Temp_3,DefaultB
85,0.8806498635825483,0.18594689129229985,0.9008671204089858,0.4480005674967866,0.4528665529121992,LH_DefaultB_Temp_4,DefaultB
86,0.8026482648372263,0.25961987780378254,0.8689120629949961,0.3570813461901518,0.5118307168048444,LH_DefaultB_IPL_1,DefaultB
87,0.9149616189907857,0.13021032646259822,0.9228750794608326,0.3320033643639962,0.5908717150968363,LH_DefaultB_PFCd_1,DefaultB
88,0.889132264335417,0.14523398773269358,0.8972576572384727,0.44223565466736836,0.45502200257110437,LH_DefaultB_PFCd_2,DefaultB
89,0.8687749808104336,0.1822077051407546,0.8898451649312257,0.496535061343105,0.3933101035881207,LH_DefaultB_PFCd_3,DefaultB
90,0.8370884764035621,0.21578066447471425,0.8535472834649429,0.48487000529000907,0.36867727817493384,LH_DefaultB_PFCd_4,DefaultB
91,0.8324153982395625,0.21984066969315053,0.8739010579654388,0.32726648275389,0.5466345752115489,LH_DefaultB_PFCv_1,DefaultB
92,0.7281005871620333,0.2874671374115749,0.8071225017727929,0.27073132380884946,0.5363911779639434,LH_DefaultB_PFCv_2,DefaultB
93,0.8703224077106952,0.19111329271767427,0.8871638268217299,0.5099160387345479,0.37724778808718196,LH_DefaultB_PFCv_3,DefaultB
94,0.8808450194012728,0.17707765054820712,0.90187696438356,0.3784152226021836,0.5234617417813765,LH_DefaultB_PFCv_4,DefaultB
95,0.8549279290263078,0.2076280039824832,0.8763038143413957,0.39748398328342815,0.47881983105796755,LH_DefaultC_IPL_1,DefaultC
96,0.9277159277287641,0.11671915198647567,0.9314566727673872,0.5124932284415934,0.4189634443257938,LH_DefaultC_Rsp_1,DefaultC
97,0.8612814739593669,0.20422583359685084,0.8856067802015485,0.3902550894516704,0.49535169074987806,LH_DefaultC_PHC_1,DefaultC
98,0.812102643707376,0.2310775126920062,0.8516267903232294,0.4666959711079621,0.3849308192152673,LH_TempPar_1,TempPar
99,0.7437444241792424,0.2746852536031191,0.8091771311815065,0.3780910615195311,0.4310860696619754,LH_TempPar_2,TempPar
100,0.9098358434087078,0.15338693682836899,0.9196823812563026,0.3682762617909907,0.5514061194653119,RH_VisCent_ExStr_1,VisCent
101,0.8735726247851107,0.1923064866454087,0.9058853551772139,0.4535071296877663,0.4523782254894476,RH_VisCent_ExStr_2,VisCent
102,0.9087502631584697,0.15228822648607407,0.9136083849476186,0.3694987445629414,0.5441096403846772,RH_VisCent_Striate_1,VisCent
103,0.8503108885875016,0.22987405236419453,0.8854150303265496,0.36119318035676423,0.5242218499697853,RH_VisCent_ExStr_3,VisCent
104,0.8985881669081637,0.16110852602901796,0.913919304068197,0.34155685009362075,0.5723624539745762,RH_VisCent_ExStr_4,VisCent
105,0.9281085069650049,0.11747465972653148,0.9344356497203301,0.46200899065605006,0.47242665906428005,RH_VisCent_ExStr_5,VisCent
106,0.9103330270332968,0.14273577129909115,0.9177598504838411,0.3632236995098683,0.5545361509739728,RH_VisPeri_ExStrInf_1,VisPeri
107,0.8807024505412697,0.18649318638156642,0.8987112163533032,0.3224307103682312,0.576280505985072,RH_VisPeri_ExStrInf_2,VisPeri
108,0.9410010394698821,0.11399247908549975,0.9441578761520896,0.23702645933762384,0.7071314168144658,RH_VisPeri_StriCal_1,VisPeri
109,0.9003542555937546,0.16102141265704764,0.9169757661513541,0.38508742830817855,0.5318883378431756,RH_VisPeri_ExStrSup_1,VisPeri
110,0.9264834790447981,0.12028737772689505,0.9332844958090718,0.4254752440766507,0.5078092517324211,RH_VisPeri_ExStrSup_2,VisPeri
111,0.885252830729447,0.17374623840864406,0.9017441714048384,0.3740212697923186,0.5277229016125198,RH_VisPeri_ExStrSup_3,VisPeri
112,0.8733235200800286,0.19191437754457927,0.8966053159413175,0.4225032911296174,0.47410202481170016,RH_SomMotA_1,SomMotA
113,0.8595239640919952,0.1935498543886332,0.8751717766335123,0.4857151089335331,0.3894566676999792,RH_SomMotA_2,SomMotA
114,0.836845656129371,0.2176590565411446,0.8702680114806234,0.4023550365630886,0.4679129749175348,RH_SomMotA_3,SomMotA
115,0.8583275086466254,0.2109111765298306,0.8811500357349087,0.3131226948709715,0.5680273408639371,RH_SomMotA_4,SomMotA
116,0.8049562516415999,0.251719243234209,0.841049887529751,0.30205159160002926,0.5389982959297217,RH_SomMotA_5,SomMotA
117,0.8764601013812673,0.1985146508246391,0.8959014801131754,0.3515428756197452,0.5443586044934302,RH_SomMotA_6,SomMotA
118,0.8170116803275224,0.23591810795756563,0.8357357650144743,0.41631626802674954,0.4194194969877248,RH_SomMotA_7,SomMotA
119,0.8166887193214214,0.22859663858628243,0.8488560452663099,0.2945882751390024,0.5542677701273075,RH_SomMotA_8,SomMotA
120,0.8537509501701398,0.21219627770993793,0.875270736766199,0.43704962790099305,0.438221108865206,RH_SomMotA_9,SomMotA
121,0.8955768159369103,0.1885969088707108,0.911920530670958,0.3017551805998457,0.6101653500711124,RH_SomMotA_10,SomMotA
122,0.8801754304463125,0.18142326494344305,0.8948701195828225,0.4246400672145038,0.47023005236831866,RH_SomMotA_11,SomMotA
123,0.8693454086384121,0.18983121550378035,0.8925738439581097,0.45897638465708807,0.4335974593010216,RH_SomMotB_Aud_1,SomMotB
124,0.8500818519182852,0.22276025301238728,0.8871047504057273,0.33422946632658995,0.5528752840791373,RH_SomMotB_Aud_2,SomMotB
125,0.8363364280279743,0.22374419547037386,0.870390342919345,0.36185188054154327,0.5085384623778018,RH_SomMotB_S2_1,SomMotB
126,0.8462288737259224,0.21026427060590783,0.8723481111671135,0.3404654578192186,0.5318826533478949,RH_SomMotB_S2_2,SomMotB
127,0.8609103221158453,0.1948477909837547,0.8755858289298999,0.4059696108801524,0.4696162180497475,RH_SomMotB_S2_3,SomMotB
128,0.8854475772792557,0.17206875837446822,0.9036324531996016,0.3944559274299121,0.5091765257696895,RH_SomMotB_S2_4,SomMotB
129,0.9208818508023651,0.1508415528855751,0.9303325789467651,0.4010918028603675,0.5292407760863976,RH_SomMotB_Cent_1,SomMotB
130,0.8680421502485215,0.19082300216069253,0.8931434860869836,0.46062816087040925,0.4325153252165743,RH_DorsAttnA_TempOcc_1,DorsAttnA
