region_idx,region_name,network,hemisphere,accuracy,n_samples,Analysis,Strategy,Phase
110,RH_VisPeri_ExStrSup_2,VisPeri,right,0.9866071428571428,224,Full Connectivity,MULTINOMIAL,CV
111,RH_VisPeri_ExStrSup_3,VisPeri,right,0.96875,224,Full Connectivity,MULTINOMIAL,CV
112,RH_SomMotA_1,SomMotA,right,0.9508928571428572,224,Full Connectivity,MULTINOMIAL,CV
113,RH_SomMotA_2,SomMotA,right,0.9598214285714286,224,Full Connectivity,MULTINOMIAL,CV
114,RH_SomMotA_3,SomMotA,right,0.9285714285714286,224,Full Connectivity,MULTINOMIAL,CV
115,RH_SomMotA_4,SomMotA,right,0.9598214285714286,224,Full Connectivity,MULTINOMIAL,CV
116,RH_SomMotA_5,SomMotA,right,0.9330357142857144,224,Full Connectivity,MULTINOMIAL,CV
117,RH_SomMotA_6,SomMotA,right,0.9642857142857144,224,Full Connectivity,MULTINOMIAL,CV
118,RH_SomMotA_7,SomMotA,right,0.9553571428571428,224,Full Connectivity,MULTINOMIAL,CV
119,RH_SomMotA_8,SomMotA,right,0.9419642857142856,224,Full Connectivity,MULTINOMIAL,CV
120,RH_SomMotA_9,SomMotA,right,0.9508928571428572,224,Full Connectivity,MULTINOMIAL,CV
121,RH_SomMotA_10,SomMotA,right,0.9732142857142856,224,Full Connectivity,MULTINOMIAL,CV
122,RH_SomMotA_11,SomMotA,right,0.96875,224,Full Connectivity,MULTINOMIAL,CV
123,RH_SomMotB_Aud_1,SomMotB,right,0.9464285714285714,224,Full Connectivity,MULTINOMIAL,CV
124,RH_SomMotB_Aud_2,SomMotB,right,0.9330357142857144,224,Full Connectivity,MULTINOMIAL,CV
125,RH_SomMotB_S2_1,SomMotB,right,0.9330357142857144,224,Full Connectivity,MULTINOMIAL,CV
126,RH_SomMotB_S2_2,SomMotB,right,0.9508928571428572,224,Full Connectivity,MULTINOMIAL,CV
127,RH_SomMotB_S2_3,SomMotB,right,0.96875,224,Full Connectivity,MULTINOMIAL,CV
128,RH_SomMotB_S2_4,SomMotB,right,0.9642857142857144,224,Full Connectivity,MULTINOMIAL,CV
129,RH_SomMotB_Cent_1,SomMotB,right,0.9821428571428572,224,Full Connectivity,MULTINOMIAL,CV
130,RH_DorsAttnA_TempOcc_1,DorsAttnA,right,0.9419642857142856,224,Full Connectivity,MULTINOMIAL,CV
131,RH_DorsAttnA_ParOcc_1,DorsAttnA,right,0.8794642857142857,224,Full Connectivity,MULTINOMIAL,CV
132,RH_DorsAttnA_SPL_1,DorsAttnA,right,0.9508928571428572,224,Full Connectivity,MULTINOMIAL,CV
133,RH_DorsAttnA_SPL_2,DorsAttnA,right,0.9598214285714286,224,Full Connectivity,MULTINOMIAL,CV
134,RH_DorsAttnA_SPL_3,DorsAttnA,right,0.9553571428571428,224,Full Connectivity,MULTINOMIAL,CV
135,RH_DorsAttnA_SPL_4,DorsAttnA,right,0.9598214285714286,224,Full Connectivity,MULTINOMIAL,CV
136,RH_DorsAttnB_PostC_1,DorsAttnB,right,0.9508928571428572,224,Full Connectivity,MULTINOMIAL,CV
137,RH_DorsAttnB_PostC_2,DorsAttnB,right,0.9196428571428572,224,Full Connectivity,MULTINOMIAL,CV
138,RH_DorsAttnB_PostC_3,DorsAttnB,right,0.9732142857142856,224,Full Connectivity,MULTINOMIAL,CV
139,RH_DorsAttnB_PostC_4,DorsAttnB,right,0.9732142857142856,224,Full Connectivity,MULTINOMIAL,CV
140,RH_DorsAttnB_FEF_1,DorsAttnB,right,0.9151785714285714,224,Full Connectivity,MULTINOMIAL,CV
141,RH_SalVentAttnA_ParOper_1,SalVentAttnA,right,0.9821428571428572,224,Full Connectivity,MULTINOMIAL,CV
142,RH_SalVentAttnA_PrC_1,SalVentAttnA,right,0.8303571428571429,224,Full Connectivity,MULTINOMIAL,CV
143,RH_SalVentAttnA_Ins_1,SalVentAttnA,right,0.8348214285714286,224,Full Connectivity,MULTINOMIAL,CV
144,RH_SalVentAttnA_Ins_2,SalVentAttnA,right,0.90625,224,Full Connectivity,MULTINOMIAL,CV
145,RH_SalVentAttnA_FrOper_1,SalVentAttnA,right,0.9821428571428572,224,Full Connectivity,MULTINOMIAL,CV
146,RH_SalVentAttnA_FrMed_1,SalVentAttnA,right,0.96875,224,Full Connectivity,MULTINOMIAL,CV
147,RH_SalVentAttnA_ParMed_1,SalVentAttnA,right,0.8571428571428571,224,Full Connectivity,MULTINOMIAL,CV
148,RH_SalVentAttnA_ParMed_2,SalVentAttnA,right,0.9419642857142856,224,Full Connectivity,MULTINOMIAL,CV
149,RH_SalVentAttnA_FrMed_2,SalVentAttnA,right,0.9330357142857144,224,Full Connectivity,MULTINOMIAL,CV
150,RH_SalVentAttnB_IPL_1,SalVentAttnB,right,0.9107142857142856,224,Full Connectivity,MULTINOMIAL,CV
151,RH_SalVentAttnB_PFClv_1,SalVentAttnB,right,0.9330357142857144,224,Full Connectivity,MULTINOMIAL,CV
152,RH_SalVentAttnB_PFCl_1,SalVentAttnB,right,0.9464285714285714,224,Full Connectivity,MULTINOMIAL,CV
153,RH_SalVentAttnB_Ins_1,SalVentAttnB,right,0.8794642857142857,224,Full Connectivity,MULTINOMIAL,CV
154,RH_SalVentAttnB_Ins_2,SalVentAttnB,right,0.9553571428571428,224,Full Connectivity,MULTINOMIAL,CV
155,RH_SalVentAttnB_PFCmp_1,SalVentAttnB,right,0.9419642857142856,224,Full Connectivity,MULTINOMIAL,CV
156,RH_LimbicB_OFC_1,LimbicB,right,0.9017857142857144,224,Full Connectivity,MULTINOMIAL,CV
157,RH_LimbicB_OFC_2,LimbicB,right,0.9196428571428572,224,Full Connectivity,MULTINOMIAL,CV
158,RH_LimbicB_OFC_3,LimbicB,right,0.9776785714285714,224,Full Connectivity,MULTINOMIAL,CV
159,RH_LimbicB_OFC_4,LimbicB,right,0.9107142857142856,224,Full Connectivity,MULTINOMIAL,CV
160,RH_LimbicA_TempPole_1,LimbicA,right,0.8526785714285714,224,Full Connectivity,MULTINOMIAL,CV
161,RH_LimbicA_TempPole_2,LimbicA,right,0.8214285714285714,224,Full Connectivity,MULTINOMIAL,CV
162,RH_LimbicA_TempPole_3,LimbicA,right,0.7901785714285714,224,Full Connectivity,MULTINOMIAL,CV
163,RH_LimbicA_TempPole_4,LimbicA,right,0.90625,224,Full Connectivity,MULTINOMIAL,CV
164,RH_ContA_IPS_1,ContA,right,0.9642857142857144,224,Full Connectivity,MULTINOMIAL,CV
165,RH_ContA_IPS_2,ContA,right,0.9732142857142856,224,Full Connectivity,MULTINOMIAL,CV
166,RH_ContA_PFCd_1,ContA,right,0.9151785714285714,224,Full Connectivity,MULTINOMIAL,CV
167,RH_ContA_PFCl_1,ContA,right,0.9375,224,Full Connectivity,MULTINOMIAL,CV
168,RH_ContA_PFCl_2,ContA,right,0.9330357142857144,224,Full Connectivity,MULTINOMIAL,CV
169,RH_ContA_Cingm_1,ContA,right,0.9375,224,Full Connectivity,MULTINOMIAL,CV
170,RH_ContB_Temp_1,ContB,right,0.9508928571428572,224,Full Connectivity,MULTINOMIAL,CV
171,RH_ContB_Temp_2,ContB,right,0.9196428571428572,224,Full Connectivity,MULTINOMIAL,CV
172,RH_ContB_IPL_1,ContB,right,0.9553571428571428,224,Full Connectivity,MULTINOMIAL,CV
173,RH_ContB_IPL_2,ContB,right,0.9508928571428572,224,Full Connectivity,MULTINOMIAL,CV
174,RH_ContB_PFCld_1,ContB,right,0.9107142857142856,224,Full Connectivity,MULTINOMIAL,CV
175,RH_ContB_PFCld_2,ContB,right,0.9419642857142856,224,Full Connectivity,MULTINOMIAL,CV
176,RH_ContB_PFClv_1,ContB,right,0.9330357142857144,224,Full Connectivity,MULTINOMIAL,CV
177,RH_ContB_PFClv_2,ContB,right,0.9196428571428572,224,Full Connectivity,MULTINOMIAL,CV
178,RH_ContB_PFCmp_1,ContB,right,0.9553571428571428,224,Full Connectivity,MULTINOMIAL,CV
179,RH_ContB_PFCld_3,ContB,right,0.9598214285714286,224,Full Connectivity,MULTINOMIAL,CV
180,RH_ContC_pCun_1,ContC,right,0.9910714285714286,224,Full Connectivity,MULTINOMIAL,CV
181,RH_ContC_pCun_2,ContC,right,0.9821428571428572,224,Full Connectivity,MULTINOMIAL,CV
182,RH_ContC_Cingp_1,ContC,right,0.9866071428571428,224,Full Connectivity,MULTINOMIAL,CV
183,RH_DefaultA_IPL_1,DefaultA,right,0.9241071428571428,224,Full Connectivity,MULTINOMIAL,CV
184,RH_DefaultA_PFCd_1,DefaultA,right,0.8928571428571429,224,Full Connectivity,MULTINOMIAL,CV
185,RH_DefaultA_pCunPCC_1,DefaultA,right,1.0,224,Full Connectivity,MULTINOMIAL,CV
186,RH_DefaultA_PFCm_1,DefaultA,right,0.9866071428571428,224,Full Connectivity,MULTINOMIAL,CV
187,RH_DefaultA_PFCm_2,DefaultA,right,0.65625,224,Full Connectivity,MULTINOMIAL,CV
188,RH_DefaultA_PFCm_3,DefaultA,right,0.9732142857142856,224,Full Connectivity,MULTINOMIAL,CV
189,RH_DefaultB_Temp_1,DefaultB,right,0.9508928571428572,224,Full Connectivity,MULTINOMIAL,CV
190,RH_DefaultB_AntTemp_1,DefaultB,right,0.9375,224,Full Connectivity,MULTINOMIAL,CV
191,RH_DefaultB_PFCd_1,DefaultB,right,0.9196428571428572,224,Full Connectivity,MULTINOMIAL,CV
192,RH_DefaultB_PFCv_1,DefaultB,right,0.96875,224,Full Connectivity,MULTINOMIAL,CV
193,RH_DefaultC_IPL_1,DefaultC,right,0.9330357142857144,224,Full Connectivity,MULTINOMIAL,CV
194,RH_DefaultC_Rsp_1,DefaultC,right,0.9955357142857144,224,Full Connectivity,MULTINOMIAL,CV
195,RH_DefaultC_PHC_1,DefaultC,right,0.9464285714285714,224,Full Connectivity,MULTINOMIAL,CV
196,RH_TempPar_1,TempPar,right,0.9151785714285714,224,Full Connectivity,MULTINOMIAL,CV
197,RH_TempPar_2,TempPar,right,0.8928571428571429,224,Full Connectivity,MULTINOMIAL,CV
198,RH_TempPar_3,TempPar,right,0.8928571428571429,224,Full Connectivity,MULTINOMIAL,CV
199,RH_TempPar_4,TempPar,right,0.9107142857142856,224,Full Connectivity,MULTINOMIAL,CV
200,aHIP-rh,Hippocampus_ant,right,0.9285714285714286,224,Full Connectivity,MULTINOMIAL,CV
201,pHIP-rh,Hippocampus_post,right,0.8348214285714286,224,Full Connectivity,MULTINOMIAL,CV
202,lAMY-rh,Amygdala_lat,right,0.7767857142857143,224,Full Connectivity,MULTINOMIAL,CV
203,mAMY-rh,Amygdala_med,right,0.8571428571428571,224,Full Connectivity,MULTINOMIAL,CV
204,THA-DP-rh,Thalamus_DP,right,0.78125,224,Full Connectivity,MULTINOMIAL,CV
205,THA-VP-rh,Thalamus_VP,right,0.8482142857142857,224,Full Connectivity,MULTINOMIAL,CV
206,THA-VA-rh,Thalamus_VA,right,0.9285714285714286,224,Full Connectivity,MULTINOMIAL,CV
207,THA-DA-rh,Thalamus_DA,right,0.8883928571428571,224,Full Connectivity,MULTINOMIAL,CV
208,NAc-shell-rh,Accumbens_shell,right,0.8080357142857143,224,Full Connectivity,MULTINOMIAL,CV
209,NAc-core-rh,Accumbens_core,right,0.8794642857142857,224,Full Connectivity,MULTINOMIAL,CV
210,pGP-rh,Pallidum_post,right,0.4598214285714285,224,Full Connectivity,MULTINOMIAL,CV
211,aGP-rh,Pallidum_ant,right,0.5178571428571429,224,Full Connectivity,MULTINOMIAL,CV
212,aPUT-rh,Putamen_ant,right,0.96875,224,Full Connectivity,MULTINOMIAL,CV
213,pPUT-rh,Putamen_post,right,0.9196428571428572,224,Full Connectivity,MULTINOMIAL,CV
214,aCAU-rh,Caudate_ant,right,0.9598214285714286,224,Full Connectivity,MULTINOMIAL,CV
215,pCAU-rh,Caudate_post,right,0.9375,224,Full Connectivity,MULTINOMIAL,CV
216,aHIP-lh,Hippocampus_ant,left,0.9107142857142856,224,Full Connectivity,MULTINOMIAL,CV
217,pHIP-lh,Hippocampus_post,left,0.8125,224,Full Connectivity,MULTINOMIAL,CV
218,lAMY-lh,Amygdala_lat,left,0.7723214285714286,224,Full Connectivity,MULTINOMIAL,CV
219,mAMY-lh,Amygdala_med,left,0.8616071428571429,224,Full Connectivity,MULTINOMIAL,CV
220,THA-DP-lh,Thalamus_DP,left,0.7410714285714286,224,Full Connectivity,MULTINOMIAL,CV
221,THA-VP-lh,Thalamus_VP,left,0.8125,224,Full Connectivity,MULTINOMIAL,CV
222,THA-VA-lh,Thalamus_VA,left,0.9241071428571428,224,Full Connectivity,MULTINOMIAL,CV
223,THA-DA-lh,Thalamus_DA,left,0.9017857142857144,224,Full Connectivity,MULTINOMIAL,CV
224,NAc-shell-lh,Accumbens_shell,left,0.875,224,Full Connectivity,MULTINOMIAL,CV
225,NAc-core-lh,Accumbens_core,left,0.8883928571428571,224,Full Connectivity,MULTINOMIAL,CV
226,pGP-lh,Pallidum_post,left,0.5267857142857143,224,Full Connectivity,MULTINOMIAL,CV
227,aGP-lh,Pallidum_ant,left,0.5089285714285714,224,Full Connectivity,MULTINOMIAL,CV
228,aPUT-lh,Putamen_ant,left,0.9508928571428572,224,Full Connectivity,MULTINOMIAL,CV
229,pPUT-lh,Putamen_post,left,0.9241071428571428,224,Full Connectivity,MULTINOMIAL,CV
230,aCAU-lh,Caudate_ant,left,0.9508928571428572,224,Full Connectivity,MULTINOMIAL,CV
231,pCAU-lh,Caudate_post,left,0.9241071428571428,224,Full Connectivity,MULTINOMIAL,CV
0,LH_VisCent_ExStr_2,VisCent,left,0.8839285714285714,224,Full Connectivity,OVO,CV
1,LH_VisCent_ExStr_1,VisCent,left,0.9642857142857144,224,Full Connectivity,OVO,CV
2,LH_VisCent_Striate_1,VisCent,left,0.9598214285714286,224,Full Connectivity,OVO,CV
3,LH_VisCent_ExStr_3,VisCent,left,0.9330357142857144,224,Full Connectivity,OVO,CV
4,LH_VisCent_ExStr_4,VisCent,left,0.9464285714285714,224,Full Connectivity,OVO,CV
5,LH_VisCent_ExStr_5,VisCent,left,0.9642857142857144,224,Full Connectivity,OVO,CV
6,LH_VisPeri_ExStrInf_1,VisPeri,left,0.90625,224,Full Connectivity,OVO,CV
7,LH_VisPeri_ExStrInf_2,VisPeri,left,0.9241071428571428,224,Full Connectivity,OVO,CV
8,LH_VisPeri_ExStrInf_3,VisPeri,left,0.8169642857142857,224,Full Connectivity,OVO,CV
9,LH_VisPeri_StriCal_1,VisPeri,left,0.9866071428571428,224,Full Connectivity,OVO,CV
10,LH_VisPeri_ExStrSup_1,VisPeri,left,0.9196428571428572,224,Full Connectivity,OVO,CV
11,LH_VisPeri_ExStrSup_2,VisPeri,left,0.9732142857142856,224,Full Connectivity,OVO,CV
12,LH_SomMotA_1,SomMotA,left,0.8928571428571429,224,Full Connectivity,OVO,CV
13,LH_SomMotA_2,SomMotA,left,0.9107142857142856,224,Full Connectivity,OVO,CV
14,LH_SomMotA_3,SomMotA,left,0.90625,224,Full Connectivity,OVO,CV
15,LH_SomMotA_4,SomMotA,left,0.9285714285714286,224,Full Connectivity,OVO,CV
