region_name,network,cv_accuracy,cv_error_rate,task_accuracy,task_error_rate,error_increase,error_increase_pct,data_type,reorganization_rank
LH_TempPar_2,TempPar,0.8482142857142857,0.1517857142857143,0.8,0.19999999999999996,0.048214285714285654,31.55680224403923,full,70
LH_DefaultA_pCunPCC_3,DefaultA,0.9732142857142856,0.026785714285714413,0.925,0.07499999999999996,0.04821428571428554,173.52185089974154,full,71
RH_DefaultC_IPL_1,DefaultC,0.9330357142857144,0.06696428571428559,0.885,0.11499999999999999,0.048035714285714404,70.67787703625883,full,72
RH_SomMotB_Aud_2,SomMotB,0.9330357142857144,0.06696428571428559,0.885,0.11499999999999999,0.048035714285714404,70.67787703625883,full,73
RH_LimbicB_OFC_3,LimbicB,0.9776785714285714,0.022321428571428603,0.93,0.06999999999999995,0.04767857142857135,204.44104134762574,full,74
LH_LimbicB_OFC_1,LimbicB,0.8125,0.1875,0.765,0.235,0.04749999999999999,25.198938992042436,full,75
LH_VisCent_ExStr_2,VisCent,0.9419642857142856,0.05803571428571441,0.895,0.10499999999999998,0.04696428571428557,79.55232909860818,full,76
LH_DefaultB_PFCd_1,DefaultB,0.9866071428571428,0.013392857142857206,0.94,0.06000000000000005,0.04660714285714285,323.8213399503707,full,77
RH_ContC_pCun_1,ContC,0.9910714285714286,0.008928571428571397,0.945,0.05500000000000005,0.04607142857142865,464.02877697841956,full,78
RH_DorsAttnB_FEF_1,DorsAttnB,0.9151785714285714,0.0848214285714286,0.87,0.13,0.0451785714285714,52.642530170620006,full,79
RH_DefaultA_pCunPCC_1,DefaultA,1.0,0.0,0.955,0.04500000000000004,0.04500000000000004,4500.000000000004,full,80
RH_SomMotB_S2_4,SomMotB,0.9642857142857144,0.03571428571428559,0.92,0.07999999999999996,0.04428571428571437,120.62256809338588,full,81
LH_SomMotB_S2_3,SomMotB,0.96875,0.03125,0.925,0.07499999999999996,0.043749999999999956,135.65891472868202,full,82
THA-DA-rh,Thalamus_DA,0.8883928571428571,0.1116071428571429,0.845,0.15500000000000003,0.04339285714285712,38.534728829685974,full,83
RH_SalVentAttnA_ParOper_1,SalVentAttnA,0.9821428571428572,0.017857142857142794,0.94,0.06000000000000005,0.04214285714285726,223.48484848484986,full,84
LH_LimbicA_TempPole_4,LimbicA,0.6919642857142857,0.3080357142857143,0.65,0.35,0.041964285714285676,13.579105512538991,full,85
aCAU-lh,Caudate_ant,0.9508928571428572,0.049107142857142794,0.91,0.08999999999999997,0.040892857142857175,81.61083392729881,full,86
RH_DefaultA_PFCd_1,DefaultA,0.8928571428571429,0.1071428571428571,0.855,0.14500000000000002,0.03785714285714292,35.00660501981513,full,87
LH_DefaultA_PFCm_1,DefaultA,0.9375,0.0625,0.9,0.09999999999999998,0.03749999999999998,59.05511811023618,full,88
mAMY-lh,Amygdala_med,0.8616071428571429,0.1383928571428571,0.825,0.17500000000000004,0.03660714285714295,26.26184985908283,full,89
LH_ContC_Cingp_1,ContC,0.9866071428571428,0.013392857142857206,0.95,0.050000000000000044,0.03660714285714284,254.34243176178532,full,90
