region_name,network,cv_accuracy,cv_error_rate,task_accuracy,task_error_rate,error_increase,error_increase_pct,data_type,reorganization_rank
RH_DefaultB_PFCv_1,DefaultB,0.9642857142857144,0.03571428571428559,0.95,0.050000000000000044,0.014285714285714457,38.910505836576476,right,102
RH_SomMotA_8,SomMotA,0.9375,0.0625,0.925,0.07499999999999996,0.012499999999999956,19.68503937007867,right,103
RH_SomMotA_7,SomMotA,0.9553571428571428,0.044642857142857206,0.945,0.05500000000000005,0.010357142857142843,22.691705790297277,right,104
RH_SalVentAttnA_ParMed_2,SalVentAttnA,0.9107142857142856,0.08928571428571441,0.905,0.09499999999999997,0.005714285714285561,6.329113924050454,right,105
RH_SalVentAttnA_ParMed_1,SalVentAttnA,0.8303571428571429,0.1696428571428571,0.825,0.17500000000000004,0.005357142857142949,3.1393888656342113,right,106
RH_DorsAttnB_PostC_2,DorsAttnB,0.9375,0.0625,0.94,0.06000000000000005,-0.0024999999999999467,-3.937007874015664,right,107
RH_LimbicA_TempPole_3,LimbicA,0.7767857142857143,0.2232142857142857,0.785,0.21499999999999997,-0.00821428571428573,-3.6635871296591342,right,108
RH_ContB_PFCld_2,ContB,0.9464285714285714,0.0535714285714286,0.955,0.04500000000000004,-0.008571428571428563,-15.706806282722487,right,109
RH_DorsAttnB_PostC_3,DorsAttnB,0.9464285714285714,0.0535714285714286,0.96,0.040000000000000036,-0.013571428571428568,-24.86910994764396,right,110
RH_SomMotA_1,SomMotA,0.9553571428571428,0.044642857142857206,0.97,0.030000000000000027,-0.01464285714285718,-32.08137715179972,right,111
RH_DorsAttnB_PostC_4,DorsAttnB,0.9642857142857144,0.03571428571428559,0.98,0.020000000000000018,-0.01571428571428557,-42.80155642023322,right,112
RH_ContB_PFCmp_1,ContB,0.9285714285714286,0.0714285714285714,0.95,0.050000000000000044,-0.021428571428571352,-29.585798816567955,right,113
RH_SomMotA_6,SomMotA,0.9732142857142856,0.026785714285714413,0.995,0.0050000000000000044,-0.021785714285714408,-78.40616966580984,right,114
RH_SomMotA_4,SomMotA,0.9553571428571428,0.044642857142857206,0.985,0.015000000000000013,-0.029642857142857193,-64.94522691705792,right,115
RH_SomMotA_5,SomMotA,0.9241071428571428,0.0758928571428572,0.96,0.040000000000000036,-0.03589285714285717,-46.67905248490478,right,116
