region_id,region_name,network,accuracy_multinomial,accuracy_ovr,ovr_advantage
95,LH_DefaultC_IPL_1,DefaultC,0.9464285714285714,0.9598214285714286,0.013392857142857206
80,LH_DefaultA_PFCm_2,DefaultA,0.9419642857142856,0.9553571428571428,0.013392857142857206
84,LH_DefaultB_Temp_3,DefaultB,0.9419642857142856,0.9508928571428572,0.008928571428571619
93,LH_DefaultB_PFCv_3,DefaultB,0.9419642857142856,0.9508928571428572,0.008928571428571619
97,LH_DefaultC_PHC_1,DefaultC,0.9419642857142856,0.9508928571428572,0.008928571428571619
91,LH_DefaultB_PFCv_1,DefaultB,0.9419642857142856,0.9598214285714286,0.017857142857143016
58,LH_ContA_IPS_2,ContA,0.9419642857142856,0.9642857142857144,0.022321428571428825
67,LH_ContB_IPL_1,ContB,0.9419642857142856,0.9598214285714286,0.017857142857143016
57,LH_ContA_IPS_1,ContA,0.9419642857142856,0.9866071428571428,0.044642857142857206
61,LH_ContA_PFClv_1,ContA,0.9419642857142856,0.9464285714285714,0.0044642857142858094
33,LH_DorsAttnA_SPL_3,DorsAttnA,0.9419642857142856,0.9598214285714286,0.017857142857143016
40,LH_SalVentAttnA_Ins_1,SalVentAttnA,0.9419642857142856,0.96875,0.026785714285714413
36,LH_DorsAttnB_PostC_3,DorsAttnB,0.9419642857142856,0.9464285714285714,0.0044642857142858094
20,LH_SomMotB_Aud_1,SomMotB,0.9375,0.9375,0.0
85,LH_DefaultB_Temp_4,DefaultB,0.9375,0.96875,0.03125
63,LH_ContA_PFCl_2,ContA,0.9375,0.9330357142857144,-0.004464285714285587
48,LH_SalVentAttnB_Ins_1,SalVentAttnB,0.9330357142857144,0.9464285714285714,0.013392857142856984
90,LH_DefaultB_PFCd_4,DefaultB,0.9330357142857144,0.9464285714285714,0.013392857142856984
82,LH_DefaultB_Temp_1,DefaultB,0.9330357142857144,0.9508928571428572,0.017857142857142794
69,LH_ContB_PFClv_1,ContB,0.9330357142857144,0.9598214285714286,0.02678571428571419
46,LH_SalVentAttnB_IPL_1,SalVentAttnB,0.9285714285714286,0.9375,0.008928571428571397
18,LH_SomMotA_7,SomMotA,0.9285714285714286,0.9241071428571428,-0.0044642857142858094
12,LH_SomMotA_1,SomMotA,0.9241071428571428,0.9196428571428572,-0.004464285714285587
114,aCAU-lh,Subcortical,0.9241071428571428,0.9508928571428572,0.026785714285714413
47,LH_SalVentAttnB_PFCl_1,SalVentAttnB,0.9241071428571428,0.9196428571428572,-0.004464285714285587
100,aHIP-lh,Subcortical,0.9196428571428572,0.9330357142857144,0.013392857142857206
109,NAc-core-lh,Subcortical,0.9196428571428572,0.90625,-0.013392857142857206
98,LH_TempPar_1,TempPar,0.9151785714285714,0.9375,0.022321428571428603
0,LH_VisCent_ExStr_2,VisCent,0.9107142857142856,0.8928571428571429,-0.017857142857142683
79,LH_DefaultA_PFCm_1,DefaultA,0.9107142857142856,0.9508928571428572,0.04017857142857162
38,LH_DorsAttnB_FEF_1,DorsAttnB,0.90625,0.9330357142857144,0.026785714285714413
66,LH_ContB_Temp_1,ContB,0.90625,0.90625,0.0
51,LH_LimbicB_OFC_2,LimbicB,0.9017857142857144,0.8928571428571429,-0.008928571428571508
30,LH_DorsAttnA_ParOcc_1,DorsAttnA,0.9017857142857144,0.9151785714285714,0.013392857142856984
56,LH_ContA_Temp_1,ContA,0.8928571428571429,0.8839285714285714,-0.008928571428571508
26,LH_SomMotB_Cent_1,SomMotB,0.8928571428571429,0.8883928571428571,-0.0044642857142858094
